Date,_cached_page_id,_template,_type,url,Text
['2017-06-09 00:00:00'],cc2d085e181e737f237c6cdd325b82d1c2870366,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/ish-shimmy-shadow-glitter-makeup,
['2017-06-12 00:00:00'],8865453c115ae8ce06ae9900d9dd3722b644ef9c,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/pat-mcgrath-lust-mattetrance-lipsticks,
['2016-11-07 00:00:00'],b9ce61c5efd50513b7a558c9c44678c3bb567a57,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/tarte-limited-edition-tarteist-pro-eye-jewels-glitter-liner-holiday-makeup,
['2016-09-09 00:00:00'],830b64618605cd2dfa5f384b0b2901193039690a,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/nyfw-wants-us-to-be-ballet-dancers-trend,
['2017-02-17 00:00:00'],15616c21fd4bddac868080bd3e340b90259b97f6,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/update-on-dangerous-college-campus-indoor-tanning,
['2017-03-22 00:00:00'],c9d5d8408ce91cda60ab1209ce2945e4351b51bc,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/homeless-man-life-changing-makeover,
['2018-03-12 00:00:00'],1dc21e57cde0e5c11aa9eca1c3af59f551e679f2,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/skin-cancer-selfies-warning-tanning-beds,
['2017-01-23 00:00:00'],9fcef8d22a97567de253ca89d567438d0548d0fb,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kylie-cosmetics-koko-kollection?mbid_relatedlink,
['2017-08-23 00:00:00'],c15883eec1b00f4c7f3846917edb39ed4a1e8875,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/lipslut-fuck-trump-lipstick-charlottesville-donation,
['2017-04-05 00:00:00'],a28532b0d2e8c8e3e25dd146d10e87d88ac9fb7c,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/people-addicted-to-tanning-other-addictions-study,
['2017-10-11 00:00:00'],bd77810a9ca34a5d13550e5bcfbfd1a79a863495,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/lush-cosmetics-holiday-collection-2017,
['2018-01-12 00:00:00'],500d070f815ea0ef16865a18f8c0ab3418c243c8,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-hair-masks-under-20,
['2018-01-11 00:00:00'],70ff196a20d722c66cbdda53d2c526152a7c2686,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-redness-reducing-face-masks,
['2017-09-30 00:00:00'],8742dce700c36faae5e2388057aec818c65533f5,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-beauty-products-backstage-fashion-week,
